stop_id_from,stop_id_to,trip_id,arrival_time,time,speed,Number_of_trips,SRI,Degree_of_congestion
36156,38709,NORMAL_333_Pune Station To  Hinjawadi Maan Phase 3_Up-0855_0,9.13.54,0.027222222,14.47956475,9.0,-0.40816322,Very smooth
36156,38709,NORMAL_115P_Pune Station to Hinjawadi Phase 3_Up-0845_0,9.03.01,0.032222222,12.23273572,9.0,1.2068965,Smooth
36156,38709,NORMAL_100_Ma Na Pa to Hinjawadi Maan Phase 3_Up-0915_0,9.15.00,0.058333333,6.7571302,9.0,5.142857,Heavy congestion
36156,38709,NORMAL_VJR5_Ma Na Pa To Mukai Chowk_Up-0905_0,9.05.00,0.033611111,11.72725073,9.0,1.570248,Smooth
36156,38709,NORMAL_100_Ma Na Pa to Hinjawadi Maan Phase 3_Up-0900_0,9.00.00,0.058333333,6.7571302,9.0,5.142857,Heavy congestion
36156,38709,NORMAL_208_Hadapsar Gadital To Hinjawadi Maan Phase 3_Up-0835_0,9.11.47,0.040555556,9.719159715,9.0,3.0136988,Mild congestion
36156,38709,NORMAL_36_Ma Na Pa To Chinchwadgaon_Up-0900_0,9.00.00,0.037222222,10.58953241,9.0,2.3880599,Smooth
36156,38709,NORMAL_36_Ma Na Pa To Chinchwadgaon_Up-0910_0,9.10.00,0.037222222,10.58953241,9.0,2.3880599,Smooth
36156,38709,NORMAL_204_Bhekrainagar To Chinchwad Gaon_Up-0830_0,9.14.25,0.043888889,8.980995762,9.0,3.544304,Mild congestion
38709,2321,NORMAL_87_Deccan Gymkhana To Sutarwadi Pashan (Vai Bhagvatinagar)_Up-0905_0,9.16.41,0.023888889,24.77463621,22.0,2.906977,Mild congestion
38709,2321,NORMAL_114_Ma Na Pa To Mhalungegaon_Up-0915_0,9.16.03,0.019444444,30.43741104,22.0,1.2857143,Smooth
38709,2321,NORMAL_333_Pune Station To  Hinjawadi Maan Phase 3_Up-0855_0,9.16.05,0.019722222,30.00871476,22.0,1.4084508,Smooth
38709,2321,NORMAL_115P_Pune Station to Hinjawadi Phase 3_Up-0845_0,9.05.27,0.031666667,18.68963773,22.0,4.649123,Mild congestion
38709,2321,NORMAL_109_Ma Na Pa To Ma Na Pa_Round-0900_0,9.00.46,0.028611111,20.68561876,22.0,4.07767,Mild congestion
38709,2321,NORMAL_13_Upper Depot To Shivajinagar_Up-0830_0,9.16.29,0.014444444,40.97343826,22.0,-1.7307693,Very smooth
38709,2321,NORMAL_205_Hadapsar Gadital To Vasantdada Putala Sangvi_Up-0830_0,9.11.49,0.02,29.59192672,22.0,1.527778,Smooth
38709,2321,NORMAL_19_Kondhwa Hospital To Shivajinagar_Up-0825_0,9.05.42,0.016111111,36.73480584,22.0,-0.5172412,Very smooth
