trip_id,time,speed,Number_of_trips
NORMAL_148_Shewalwadi To Pimple Gurav_Up-0850_0,0.182222224,31.247387656249998,133.0
NORMAL_94_Kothrud Depot To Pune Station_Up-0855_0,0.182499998,31.762853406153848,192.0
NORMAL_42_Katraj To Bhakti Shakti_Up-0830_0,0.1825,33.70789077627273,149.0
NORMAL_43_Bhakti Shakti To Katraj_Down-0800_0,0.182500001,37.52342087125,28.0
NORMAL_143_Pune Station To Galinde Path (Vai Mhatre Pul)_Down-0840_0,0.182777776,44.088426329473684,35.0
NORMAL_142_Ghotawade Phata To Pune Station_Down-0830_0,0.182777776,35.77686900529412,49.0
NORMAL_114_Mhalungegaon To Ma Na Pa_Down-0840_0,0.182777778,35.640818549,131.0
NORMAL_24_Katraj To Maharashtra Housing Board Samtanagar_Up-1435_0,0.182777778,26.056100684444445,473.0
NORMAL_129_Balewadi Depot To Pune Station_Down-0905_0,0.182777778,40.159116473333334,20.0
NORMAL_50_Shaniwarwada To Sinhagad_Up-0840_0,0.182777778,33.865716500625,135.0
NORMAL_155_Lohgaon To Pune Station (Via Dhanori)_Down-1415_0,0.18333333200000002,35.497090173636366,188.0
NORMAL_158_Ma Na Pa To Lohgaon_Up-1445_0,0.18333333400000001,24.007796530249998,158.0
NORMAL_11_Pimplegurav To Marketyard_Down-0905_0,0.183333335,25.339730470909092,40.0
NORMAL_VJR2_Warje Malwadi To Kesnand Phata_Up-0830_0,0.18361111,23.891652091428572,57.0
NORMAL_56_Vadgaon Bk To Mandai_Up-1410_0,0.183888886,29.482009873571428,412.0
NORMAL_275_Chinchwadgaon To Kothrud Stand_Down-1345_0,0.183888888,25.05936302111111,432.0
NORMAL_149_Bhakti Shakti To Shewalwadi_Down-1230_0,0.183888888,28.62028473,250.0
NORMAL_150_Pune Station Depo To Pimplegurav Via Wakdewadi Khadki Station Buddha Vihar_Up-0830_0,0.18388889,27.068513826666667,161.0
NORMAL_187_Bhekrainagar To Pune Station_Up-1445_0,0.184166665,37.265574524499996,237.0
NORMAL_331_Bhosari To Rahatnigaon_Up-0850_0,0.184166667,32.709593868,55.0
NORMAL_367_Nigdi To Gavhanevasti Bhosari (Ladies Sp)_Up-0915_0,0.184166667,37.683254026,41.0
NORMAL_50_Shaniwarwada To Sinhagad_Up-1435_0,0.184166667,31.770018167999996,304.0
NORMAL_315_Pune station To Bhosari via vishrantwadi_Up-1330_0,0.184722222,40.37238320692308,248.0
NORMAL_158_Lohgaon To Ma Na Pa_Down-0905_0,0.18472222200000002,35.24051644463636,41.0
NORMAL_110_Ma Na Pa To Ma Na Pa_Round-1330_0,0.184999999,28.3833284055,434.0
NORMAL_109_Ma Na Pa To Ma Na Pa_Round-1440_0,0.185000001,37.84166862153846,353.0
NORMAL_167_Hadapsar Gadital To Kesnand Phata_Up-0905_0,0.185277777,39.998624892222225,55.0
NORMAL_101_Kothrud Depot To Kondhwa Kh_Up-0825_0,0.185277778,26.708484219888888,21.0
NORMAL_116_Ma Na Pa To Khadki Bazar_Up-0850_0,0.185277778,35.471870339166664,16.0
NORMAL_113_Mandai Stand To Vasantdada Putala Sangvi Mandai Stand_Round-0900_0,0.185277778,38.427207089285716,219.0
NORMAL_331_Charholigaon To Rahatnigaon_Up-0835_0,0.185833332,35.2719732275,57.0
NORMAL_355_Dange Chowk To Chikhali_Up-0845_0,0.185833333,28.613742638999998,31.0
NORMAL_318_Pune station To Krishna Nagar_Up-1445_0,0.185833333,19.826460270800002,64.0
NORMAL_148_Bhekhrainagar To Pimplegurav_Up-0830_0,0.18583333300000002,25.29413437857143,114.0
NORMAL_VJR4_Vishrantwadi To Kothrud Depot_Down-1330_0,0.186111112,28.943980915384618,644.0
NORMAL_144_Pune Station To Kothrud Stand_Down-0855_0,0.186388887,26.548736638999998,112.0
NORMAL_336_Bhakti Shakti To Kesnand Phata_Down-0915_0,0.186388889,30.809261723333336,19.0
NORMAL_310_Pune Station To Walhekarwadi_Up-0905_0,0.186388889,26.715325621166667,142.0
NORMAL_204_Chinchwad Gaon to  Bhekrainagar_Down-1345_0,0.186666666,19.524690493333335,148.0
